feature,statistic,comparison,n_occupied,n_comparison,proteins_occupied,proteins_comparison,mean_occupied,mean_comparison,estimate,ci_low,ci_high,p,n_boot,family,q
neighbour_aromatic_fraction_8a,smd,internal_control,318,31,233,24,0.08487201257861635,0.0914,-0.06486354151209978,-0.4256039094855323,0.3444554495502967,0.74,2000,confirmatory,0.9470769230769231
nearest_aromatic_sidechain_nd2,smd,internal_control,314,30,231,24,8.428025477707006,8.240333333333334,0.06918435566051061,-0.21703585086928728,0.3856979804215226,0.601,2000,confirmatory,0.8451000000000001
uniprot_residues_after_asn,smd,internal_control,318,31,233,24,299.8207547169811,427.8709677419355,-0.505333492216042,-0.9901875219870011,-0.054490296980514046,0.031,2000,confirmatory,0.13949999999999999
uniprot_residues_after_sequon,smd,internal_control,318,31,233,24,297.8207547169811,425.8709677419355,-0.505333492216042,-0.9901875219870011,-0.054490296980514046,0.031,2000,confirmatory,0.13949999999999999
distance_to_n_terminus_resolved,smd,internal_control,318,31,233,24,149.19811320754718,186.0,-0.262068935752544,-0.6193720578394076,0.10557691158538185,0.172,2000,confirmatory,0.4221818181818181
distance_to_c_terminus_resolved,smd,internal_control,318,31,233,24,204.66352201257862,271.06451612903226,-0.385772616468649,-0.7819994583598487,0.02608881287452154,0.065,2000,confirmatory,0.21937500000000001
n_ss_coarse==loop,mean_difference,internal_control,317,31,232,24,0.6435331230283912,0.6451612903225806,-0.0016281672941894643,-0.15801648351184383,0.16430760460106078,0.961,2000,confirmatory,0.961
n_ss_coarse==helix,mean_difference,internal_control,317,31,232,24,0.11987381703470032,0.16129032258064516,-0.04141650554594484,-0.18382025149744566,0.09065596469033572,0.589,2000,confirmatory,0.8451000000000001
n_ss_coarse==sheet,mean_difference,internal_control,317,31,232,24,0.2334384858044164,0.1935483870967742,0.03989009870764221,-0.10463328636790192,0.1719248790660232,0.557,2000,confirmatory,0.8451000000000001
plus1_ss_coarse==loop,mean_difference,internal_control,317,31,232,24,0.5962145110410094,0.8064516129032258,-0.21023710186221634,-0.359542597467723,-0.04512030627342161,0.022,2000,confirmatory,0.13949999999999999
plus1_ss_coarse==helix,mean_difference,internal_control,317,31,232,24,0.17981072555205047,0.0967741935483871,0.08303653200366337,-0.04739145658263305,0.18718573035696223,0.191,2000,confirmatory,0.42975
plus1_ss_coarse==sheet,mean_difference,internal_control,317,31,232,24,0.22397476340694006,0.0967741935483871,0.12720056985855296,0.000848186296462177,0.22903487097163408,0.05,2000,confirmatory,0.19285714285714287
plus2_ss_coarse==loop,mean_difference,internal_control,317,31,232,24,0.5425867507886435,0.8387096774193549,-0.2961229266307114,-0.4231150793650794,-0.1473251840913343,0.0005,2000,confirmatory,0.0135
