comparison,feature,n_pairs,units,mean_difference,standardised,ci_low,ci_high,p,q
internal,n_ss_coarse==loop,16,12,0.1875,0.34472891983269127,-0.0625,0.5,0.24,0.42514285714285716
internal,n_ss_coarse==helix,16,12,-0.1875,-0.34472891983269127,-0.5,0.0625,0.219,0.42514285714285716
internal,n_ss_coarse==sheet,16,12,0.0,0.0,-0.26666666666666666,0.23529411764705882,1.0,1.0
internal,plus1_ss_coarse==loop,16,12,0.125,0.25,-0.08374999999999998,0.375,0.414,0.621
internal,plus1_ss_coarse==helix,16,12,0.0,0.0,-0.2,0.1875,1.0,1.0
internal,plus1_ss_coarse==sheet,16,12,-0.125,-0.25,-0.35714285714285715,0.11127450980392067,0.402,0.621
internal,plus2_ss_coarse==loop,16,12,-0.3125,-0.5190342490858748,-0.6,0.0,0.052,0.156
internal,plus2_ss_coarse==helix,16,12,0.0,0.0,-0.2,0.1875,1.0,1.0
internal,plus2_ss_coarse==sheet,16,12,0.3125,0.5190342490858748,0.0,0.6,0.052,0.156
internal,aromatic_within_8a==True,16,12,-0.3125,-0.5190342490858748,-0.5714285714285714,-0.11764705882352941,0.002,0.012
